home_score,away_score,first_goal,home_team,away_team
2,0,home,OBB,SL
2,1,home,ARGJ,GCM
1,1,away,RAF,ALLB
3,0,home,RAC,COL
0,1,away,QUI,ROS
1,0,home,CARP,GLP
2,0,home,GCM,QUI
0,1,away,ALLB,EST
1,3,away,ARS,VEL
1,0,home,SL,RAC
1,0,home,COL,ARGJ
0,3,away,LAN,RAF
1,1,away,ROS,CARP
2,3,home,CABJ,BEL
0,2,away,OBB,ARS
3,0,home,VEL,ALLB
0,1,away,RAC,TIG
0,2,away,QUI,COL
0,2,away,ARGJ,SL
2,1,home,EST,LAN
1,2,home,CARP,GCM
3,1,away,ROS,GLP
1,0,home,RAF,CABJ
3,2,home,LAN,VEL
1,0,home,ALLB,OBB
3,1,home,ARS,RAC
4,1,home,NOB,RAF
1,0,home,SL,QUI
1,0,home,CABJ,EST
3,0,home,GCM,ROS
2,2,home,GLP,BEL
0,2,away,GCM,GLP
1,1,home,RAC,ALLB
1,0,home,VEL,CABJ
1,2,home,RAF,BEL
2,0,home,ARGJ,ARS
0,1,away,ROS,COL
2,0,home,OBB,LAN
1,0,home,QUI,TIG
1,0,home,CARP,SL
1,1,home,COL,GCM
1,1,home,GLP,RAF
1,1,away,BEL,EST
1,0,home,LAN,RAC
2,0,home,CABJ,OBB
0,2,away,ARS,QUI
0,2,away,ARGJ,LAN
3,1,away,VEL,BEL
1,1,away,GCM,SL
1,0,home,CARP,ARS
1,2,away,RAC,CABJ
1,2,away,QUI,ALLB
1,1,home,ROS,TIG
3,1,home,RAF,VEL
1,1,away,BEL,OBB
1,0,home,LAN,QUI
2,1,home,OBB,RAF
1,0,home,COL,TIG
2,0,home,RAC,BEL
2,0,home,ROS,ALLB
1,1,away,VEL,EST
2,1,home,GCM,ARS
2,1,away,GLP,SL
2,0,home,CARP,LAN
5,1,away,VEL,GLP
1,1,home,NOB,QUI
2,2,away,RAF,RAC
2,1,home,LAN,ROS
1,0,home,ARS,COL
1,2,away,CABJ,CARP
2,2,away,TIG,SL
3,3,home,RAC,EST
1,0,home,GCM,LAN
1,0,home,COL,ALLB
2,1,away,ROS,CABJ
1,0,home,CARP,NOB
3,1,away,GLP,TIG
2,0,home,SL,ARS
1,0,home,LAN,COL
0,1,away,VEL,RAC
0,1,away,NOB,ROS
2,2,home,RAF,QUI
1,2,home,ALLB,SL
0,1,away,ARS,TIG
3,0,home,CABJ,GCM
2,1,home,BEL,CARP
1,0,home,EST,ARGJ
0,2,away,OBB,GLP
2,0,home,TIG,ALLB
2,1,home,ARGJ,VEL
1,1,away,RAC,OBB
1,4,away,SL,LAN
2,0,home,GLP,ARS
0,1,away,GCM,NOB
2,0,home,CARP,RAF
3,0,home,OBB,ARGJ
1,3,away,VEL,QUI
2,3,away,RAF,ROS
0,1,away,NOB,COL
1,1,away,ALLB,ARS
1,2,away,BEL,GCM
0,1,away,RAC,GLP
0,1,away,QUI,OBB
0,1,away,ARGJ,RAC
3,1,home,ARS,LAN
1,0,home,CARP,VEL
0,1,away,TIG,CABJ
2,1,home,GLP,ALLB
2,1,away,NOB,TIG
1,1,home,RAF,COL
0,2,away,ARGJ,GLP
4,1,home,VEL,ROS
0,1,away,RAC,QUI
0,1,away,EST,GCM
1,0,home,LAN,ALLB
4,2,home,CABJ,ARS
1,1,away,OBB,CARP
1,0,home,QUI,ARGJ
0,2,away,COL,EST
1,1,home,GCM,VEL
2,0,home,SL,RAF
3,2,home,ARS,NOB
3,2,home,CARP,RAC
1,3,away,ALLB,CABJ
2,1,home,TIG,BEL
3,1,home,OBB,GCM
3,0,home,EST,SL
4,2,home,NOB,ALLB
1,1,home,RAF,TIG
2,0,home,VEL,COL
3,1,home,CABJ,LAN
0,2,away,ARGJ,CARP
3,2,home,ROS,ARGJ
1,2,home,ARS,RAF
2,1,away,COL,OBB
2,1,home,GCM,RAC
0,1,away,GLP,CABJ
5,0,home,CARP,QUI
2,1,away,TIG,EST
1,1,home,LAN,NOB
2,3,away,SL,VEL
0,1,away,SL,CARP
3,0,home,GCM,BAN
3,1,away,ROS,QUI
1,3,away,DYJ,RAC
3,0,home,IND,RAF
0,1,away,CABJ,NOB
1,1,away,GLP,CARP
2,1,away,ARS,EST
0,1,away,TIG,VEL
1,0,home,LAN,BEL
1,1,home,NOB,GLP
2,1,home,OBB,TIG
1,0,home,EST,IND
2,0,home,RAC,SL
2,0,home,CARP,ROS
0,1,away,BEL,CABJ
2,2,home,QUI,GCM
2,1,home,RAF,LAN
1,0,home,ARS,OBB
4,0,home,TIG,RAC
1,2,home,GLP,ROS
3,3,home,NOB,BEL
0,4,away,IND,VEL
0,2,away,SL,BAN
2,1,home,LAN,EST
1,1,home,DYJ,QUI
0,3,away,CABJ,RAF
0,4,away,GCM,CARP
1,2,home,OBB,IND
1,0,home,RAC,ARS
0,1,away,ROS,GCM
3,0,home,CARP,DYJ
3,1,home,EST,CABJ
1,0,home,BAN,TIG
1,0,home,VEL,LAN
0,3,away,QUI,SL
2,0,home,GLP,GCM
1,3,away,DYJ,ROS
1,0,home,NOB,EST
3,0,home,BEL,RAF
2,1,away,IND,RAC
3,1,away,CABJ,VEL
1,3,home,SL,CARP
1,1,away,LAN,OBB
1,0,home,ARS,BAN
2,0,home,RAF,GLP
0,1,away,BAN,IND
1,1,home,ROS,SL
1,1,home,GCM,DYJ
1,3,home,RAC,LAN
2,0,home,CARP,TIG
4,0,home,QUI,ARS
0,3,away,GLP,DYJ
2,1,away,SL,GCM
4,1,away,TIG,ROS
1,0,home,RAF,EST
5,3,away,IND,QUI
1,0,home,LAN,BAN
1,0,home,BEL,VEL
1,0,home,NOB,OBB
1,0,home,OBB,BEL
3,1,away,ROS,ARS
1,1,away,BAN,CABJ
4,1,home,CARP,IND
1,3,home,DYJ,SL
1,1,away,RAC,NOB
1,2,home,CABJ,RAC
1,1,home,ARS,CARP
3,2,away,EST,VEL
2,0,home,IND,ROS
0,2,away,SL,GLP
2,1,away,TIG,DYJ
1,4,home,BEL,RAC
1,0,home,CABJ,QUI
1,1,home,LAN,CARP
3,0,home,ARS,GCM
0,3,away,NOB,BAN
2,0,home,SL,OBB
2,0,home,GLP,VEL
2,2,home,BAN,BEL
0,2,away,SL,TIG
2,1,away,DYJ,ARS
1,1,away,QUI,NOB
1,1,away,CARP,CABJ
0,2,away,RAC,RAF
1,2,away,ROS,LAN
2,2,home,GCM,IND
1,0,home,TIG,GLP
3,3,home,LAN,GCM
4,1,home,VEL,OBB
1,1,home,BEL,QUI
0,4,away,EST,RAC
2,2,home,RAF,BAN
1,1,away,IND,DYJ
2,1,away,CABJ,ROS
0,1,away,NOB,CARP
4,3,away,GCM,TIG
1,1,home,BAN,EST
1,2,away,SL,IND
1,2,away,DYJ,LAN
2,0,home,ROS,NOB
2,0,home,RAC,VEL
3,0,home,CARP,BEL
2,3,away,GCM,CABJ
1,1,away,TIG,ARS
1,0,home,BEL,ROS
3,1,away,IND,TIG
1,0,home,VEL,BAN
2,2,away,NOB,GCM
1,1,away,OBB,RAC
1,0,home,EST,QUI
1,0,home,LAN,SL
2,0,home,CABJ,DYJ
1,2,home,RAF,CARP
1,0,home,ARS,GLP
3,0,home,BAN,OBB
1,3,home,GCM,BEL
0,1,away,GLP,RAC
2,1,home,QUI,VEL
0,2,away,ROS,RAF
2,0,home,SL,CABJ
3,2,home,LAN,ARS
3,4,away,RAF,GCM
2,1,home,OBB,QUI
3,0,home,BEL,DYJ
0,1,away,IND,GLP
1,0,home,EST,ROS
1,0,home,RAC,BAN
2,0,home,CABJ,TIG
1,1,home,VEL,CARP
3,1,home,NOB,SL
3,0,home,TIG,LAN
0,1,away,CARP,EST
1,1,home,ARS,IND
2,1,home,DYJ,RAF
1,1,home,GLP,BAN
4,0,home,SL,BEL
0,1,away,QUI,RAC
1,1,home,GCM,EST
1,2,away,TIG,NOB
1,1,home,CARP,OBB
1,1,home,ARS,CABJ
4,1,away,IND,LAN
1,0,home,DYJ,NOB
3,1,away,BAN,QUI
2,0,home,RAF,SL
1,1,home,OBB,ROS
1,4,away,VEL,GCM
2,0,home,LAN,GLP
1,2,home,BEL,TIG
3,1,home,CABJ,IND
2,4,home,NOB,ARS
3,0,home,GLP,QUI
0,2,away,DYJ,VEL
4,0,home,SL,EST
1,0,home,IND,NOB
0,3,away,ROS,RAC
3,1,away,TIG,RAF
3,2,away,CARP,BAN
2,2,home,LAN,CABJ
0,3,away,GCM,OBB
0,2,away,ARS,BEL
4,2,home,EST,TIG
1,6,away,RAF,ARS
2,3,away,BAN,ROS
4,0,home,BEL,IND
0,2,away,CABJ,GLP
0,1,away,QUI,CARP
1,0,home,RAC,GCM
