player,team,goals_for,goals_against,minutes_played,minutes_benched,team_goals_for,team_goals_against
Brian Sarmiento,BAN,9,12,617,891,15,20
Juan Insaurralde,CABJ,13,9,1124,377,14,13
Fernando Gago,CABJ,10,8,851,650,14,13
Jorge Vel?zquez,BEL,18,20,1291,217,19,23
Alexis Soto,BAN,13,20,1400,108,15,20
Lautaro Comas,CAP,9,9,525,993,19,23
Jorge Luna,SMSJ,5,6,266,1259,22,20
Luciano Pocrnjic,NOB,7,8,847,657,16,21
Camilo Mayada,CARP,12,10,677,836,20,19
Enrique Alberto Bologna,GLP,15,19,1405,93,18,19
Tom?s Andrade,CARP,2,0,111,1402,20,19
Emilio Hern?ndez,SMSJ,2,1,103,1422,22,20
Lucas Cano,ARGJ,1,2,137,1366,11,26
Fabio ?lvarez,SARM,6,10,641,870,10,17
Leandro Sapetti,TEMP,8,9,635,876,14,21
Mauricio T?vez,NOB,3,6,270,1234,16,21
Jonathan Galv?n,ALDO,16,24,1317,206,19,27
Maxi Rodr?guez,NOB,16,21,1464,40,16,21
Lucas Villalba,TUC,13,6,689,818,24,19
Walter Busse,SARM,10,17,1401,110,10,17
Kevin Ceceri,GLP,3,4,323,1175,18,19
Mauro Matos,SL,7,7,422,1086,23,16
Jonathan Bottinelli,ARS,21,14,1504,0,21,14
Dami?n P?rez,VEL,19,17,1285,224,19,19
Fernando Gonz?lez,OBB,1,7,315,1196,11,20
Milton Casco,CARP,11,13,785,728,20,19
Mariano Nicolas Gonzalez,HUR,18,12,844,673,21,15
Gast?n ?lvarez Suarez,BEL,8,7,275,1233,19,23
Guillermo Acosta,TUC,20,15,941,566,24,19
Gustavo Villarruel,SMSJ,8,5,241,1284,22,20
Pablo Becker,ROS,1,2,157,1362,17,15
Rodrigo Battaglia,ROS,0,3,135,1384,17,15
Matias Donoso,CAP,6,5,332,1186,19,23
Camilo Vargas,ARGJ,6,15,566,937,11,26
Marco Rub?n,ROS,12,9,944,575,17,15
Pablo Santillo,DYJ,8,7,426,1096,23,16
Federico L?rtora,ARS,20,14,1346,158,21,14
Nicol?s Talpone,EST,1,2,12,1494,25,11
Jos? Sand,LAN,28,10,1449,58,28,10
Guillermo Ferracuti,SARM,1,8,438,1073,10,17
Claudio Corval?n,ARS,21,14,1476,28,21,14
Gabriel Graciani,RAF,10,16,792,716,14,32
Santiago Villafa?e,COL,11,12,442,1061,21,31
Gast?n Fern?ndez,EST,22,10,1207,299,25,11
Hamilton Pereira,SARM,10,14,1224,287,10,17
Fabi?n Rinaudo,GLP,9,14,1029,469,18,19
Mauro Bogado,HUR,19,14,1325,192,21,15
Guillermo Sara,CABJ,1,5,402,1099,14,13
Juan Ignacio Cavallaro,EST,21,9,833,673,25,11
Carlos Auzqui,EST,13,7,790,716,25,11
Brian Andrada,GLP,0,0,8,1490,18,19
Sergio Vittor,RAC,21,21,793,713,29,26
Gabriel B?ez Renter?a,NOB,1,1,95,1409,16,21
Lucas Mugni,NOB,3,5,249,1255,16,21
Gonzalo Montiel,CARP,0,0,49,1464,20,19
Mathias Abero,RAF,8,24,763,745,14,32
Kevin Mac Allister,ARGJ,2,10,372,1131,11,26
Ramiro Carrera,ARS,12,9,593,911,21,14
Emanuel Tripodi,SARM,10,17,1511,0,10,17
Fabi?n Assmann,VEL,0,2,107,1402,19,19
Roberto Brum,GLP,7,9,774,724,18,19
Pablo Alvarez,ROS,13,9,957,562,17,15
Elias Gomez,DYJ,0,0,17,1505,23,16
Ezequiel Parnisari,OBB,10,18,1244,267,11,20
Facundo Parra,RAF,6,16,458,1050,14,32
Mat?as Giordano,HUR,0,1,118,1399,21,15
Erik Godoy,TIG,21,13,1258,249,21,17
Gabriel Alan?s,BEL,3,4,108,1400,19,23
Martin Benitez,IND,18,11,798,701,22,12
Pablo Caceres,TUC,16,11,828,679,24,19
Tom?s Pochettino,DYJ,7,7,466,1056,23,16
Miguel Escobar,BAN,3,4,88,1420,15,20
Bruno Bianchi,TUC,24,19,1507,0,24,19
Cristian Canuh?,TEMP,8,9,646,865,14,21
Victor Malcorra,USF,24,21,1509,0,24,21
Norberto Paparatto,RAF,3,10,469,1039,14,32
Pablo Rosales,EST,4,1,48,1458,25,11
Juan Sanchez Sotelo,ARS,14,9,764,740,21,14
Gonzalo Yordan,VEL,0,0,28,1481,19,19
Luis Rodr?guez,TUC,20,19,1270,237,24,19
Tom?s Bolzicco,USF,3,2,146,1363,24,21
Fabricio Formiliano,NOB,7,11,474,1030,16,21
Dami?n Ledesma,ALDO,8,11,579,944,19,27
Santiago Biglieri,COL,0,0,11,1492,21,31
Rodrigo Rey,GCM,27,14,1507,0,27,14
Agust?n Bouzat,DYJ,11,11,459,1063,23,16
Mauro Albertengo,RAF,3,5,275,1233,14,32
Fernando Zuqui,GCM,27,13,1373,134,27,14
Joaquin Arzura,CARP,8,5,396,1117,20,19
Ignacio Pussetto,RAF,9,17,705,803,14,32
Ra?l Poclaba,ALDO,0,0,4,1519,19,27
Ezequiel Miralles,HUR,10,8,474,1043,21,15
Mauro Marconato,CAP,0,0,15,1503,19,23
Nery Leyes,TUC,21,19,1309,198,24,19
Fernando Monetti,LAN,27,7,1414,93,28,10
Iv?n Rossi,BAN,10,16,984,524,15,20
Joel Amoroso,OBB,11,20,1425,86,11,20
Cristian Nasuti,VEL,18,15,1405,104,19,19
Lucas Salas,SMSJ,18,18,933,592,22,20
Luis ?vila,SL,0,2,58,1450,23,16
Frano Cervi,ROS,13,10,977,542,17,15
Leandro De Bortoli,TEMP,0,2,59,1452,14,21
Federico Alvarez,BEL,9,10,657,851,19,23
Leonel Mosevich,ARGJ,0,3,139,1364,11,26
Cristian Erbes,CABJ,3,1,159,1342,14,13
Federico Marcelo Anselmo,RAF,12,21,788,720,14,32
Juli?n Marchioni,EST,3,5,382,1124,25,11
Matias Vargas,VEL,0,2,32,1477,19,19
Diego Mateo,NOB,10,10,925,579,16,21
Israel Damonte,EST,23,9,1174,332,25,11
Victor Salazar,ROS,13,10,978,541,17,15
Sebasti?n Mart?nez,RAF,8,14,656,852,14,32
Ismael Qu?lez,ALDO,11,20,933,590,19,27
Mat?as Catal?n,RAF,4,16,679,829,14,32
Agust?n Sandon?,USF,7,2,326,1183,24,21
Facundo Barboza,ARGJ,3,6,183,1320,11,26
Leandro Fernandez,IND,11,7,826,673,22,12
Manuel de Iriondo,USF,1,0,23,1486,24,21
Carlos Araujo,HUR,8,9,645,872,21,15
Lucas Villarruel,HUR,6,7,403,1114,21,15
Nereo Fern?ndez,USF,24,21,1509,0,24,21
Maximiliano Lovera,ROS,1,1,46,1473,17,15
Jean Barrientos,OBB,2,8,331,1180,11,20
Ezequiel Ru?z,ARS,0,1,25,1479,21,14
Augusto Solari,EST,24,10,1291,215,25,11
Nahuel Z?rate,USF,2,1,188,1321,24,21
Ezequiel Vidal,IND,0,1,38,1461,22,12
Yeimar G?mez,ARS,2,4,143,1361,21,14
Nicol?s Freire,ARGJ,11,18,908,595,11,26
Alexis Mart?n Arias,GLP,3,0,93,1405,18,19
Adri?n Bast?a,COL,14,18,831,672,21,31
Gustavo Canto,SARM,0,3,127,1384,10,17
Adri?n Sporle,BAN,4,3,382,1126,15,20
Marcos Angeleri,SL,18,11,1094,414,23,16
Franco Lazzaroni,SMSJ,14,14,968,557,22,20
Franco Mazurek,COL,12,11,309,1194,21,31
El?as Umere,EST,4,2,98,1408,25,11
Federico Vismara,RAC,16,18,748,758,29,26
Rafael Delgado,DYJ,23,14,1357,165,23,16
Rodrigo Depetris,SARM,5,8,854,657,10,17
Adri?n Arregui,TEMP,9,19,865,646,14,21
Sebastian Olivares,GCM,0,0,11,1496,27,14
Nicol?s Lodeiro,CABJ,11,5,608,893,14,13
C?sar Delgado,ROS,1,4,279,1240,17,15
Jos? G?mez,LAN,25,7,1266,241,28,10
Andr?s R?os,DYJ,7,5,416,1106,23,16
Javier Toledo,SMSJ,19,16,1266,259,22,20
Ezequiel Bonifacio,GLP,1,2,115,1383,18,19
Guido Rodr?guez,DYJ,22,16,1407,115,23,16
Emilio Zelaya,ARGJ,8,22,909,594,11,26
Oscar Benitez,LAN,13,6,690,817,28,10
Nicol?s Blandi,SL,20,13,985,523,23,16
Fernando M?rquez,BEL,15,17,756,752,19,23
Leonardo Godoy,RAF,12,23,1035,473,14,32
Facundo And?jar,EST,1,1,95,1411,25,11
Diego Braghieri,LAN,23,8,1113,394,28,10
Milton Valenzuela,NOB,1,0,8,1496,16,21
Nicol?s Leguizam?n,COL,3,9,355,1148,21,31
H?ctor Villalba,SL,2,1,101,1407,23,16
Federico Lanzillota,ARGJ,5,11,937,566,11,26
Miguel Barbieri,RAC,3,2,191,1315,29,26
Iv?n Marcone,LAN,23,6,1025,482,28,10
Maximiliano Romero,VEL,10,11,579,930,19,19
Carlos Tevez,CABJ,10,8,959,542,14,13
Leandro Somoza,VEL,19,16,1222,287,19,19
Leandro Fern?ndez,NOB,3,3,94,1410,16,21
Federico Ruiz,COL,0,1,12,1491,21,31
Nelson Acevedo,USF,22,16,1067,442,24,21
Tom?s Molina,HUR,1,1,60,1457,21,15
Oliver Paz Ben?tez,GLP,7,9,690,808,18,19
Leonardo Rol?n,ARS,0,0,44,1460,21,14
Cristiano Pavon,CABJ,3,0,211,1290,14,13
Humberto Osorio,DYJ,8,7,274,1248,23,16
Leandro Mar?n,TIG,15,11,1028,479,21,17
Federico Ins?a,ARGJ,7,18,745,758,11,26
Javier Pinola,ROS,15,9,951,568,17,15
Ivan Furios,CAP,10,10,724,794,19,23
Juli?n Chicco,CABJ,1,4,283,1218,14,13
Ivan Pillud,RAC,18,14,701,805,29,26
Ram?n ?bila,HUR,21,14,1368,149,21,15
Luis Castillo Mart?nez,COL,6,10,520,983,21,31
Juan Ignacio L?pez,SARM,2,0,90,1421,10,17
Lucas Parodi,BEL,2,6,350,1158,19,23
Ariel Lug?ercio,ALDO,7,3,240,1283,19,27
David Vega,OBB,2,4,279,1232,11,20
Marcos Quiroga,CAP,2,2,72,1446,19,23
Diego Villar,USF,18,19,733,776,24,21
Juli?n Vitale,IND,3,3,79,1420,22,12
Marcos D?az,HUR,21,15,1494,23,21,15
Emir Faccioli,USF,5,8,236,1273,24,21
Romel Morales,BAN,0,1,13,1495,15,20
Facundo Cobos,GCM,1,0,95,1412,27,14
Gonzalo Piovi,ARGJ,6,12,1032,471,11,26
Jonathan Fleita,USF,8,9,577,932,24,21
Lucas Bareiro,RAC,3,4,131,1375,29,26
Juan Dinenno,ALDO,8,12,327,1196,19,27
Claudio Aquino,IND,10,9,698,801,22,12
Sebasti?n Dom?nguez,NOB,12,18,847,657,16,21
Carlos Matheu,BAN,15,20,1508,0,15,20
Gino Peruzzi,CABJ,0,0,280,1221,14,13
Federico Rasic,GLP,11,11,591,907,18,19
Juan Carlos Blengio,TIG,12,12,801,706,21,17
Fernando Evangelista,TUC,8,9,669,838,24,19
Mat?as Caruzzo,SL,19,11,1224,284,23,16
Nahuel Peralta,TEMP,0,0,13,1498,14,21
Iv?n Colman,ARGJ,0,1,74,1429,11,26
Ferm?n Antonini,SARM,2,2,176,1335,10,17
V?ctor Ayala,LAN,12,3,461,1046,28,10
Alexis Z?rate,TEMP,2,4,261,1250,14,21
Emanuel Garc?a,GCM,5,2,70,1437,27,14
Jos? Rojas,BEL,19,22,1383,125,19,23
Hern?n Lamberti,ALDO,18,18,1084,439,19,27
Santiago Izaguirre,TIG,1,4,122,1385,21,17
Hugo Silva,DYJ,4,5,216,1306,23,16
Maximiliano Vel?zquez,LAN,21,7,1213,294,28,10
Francisco Cerro,RAC,18,13,546,960,29,26
Tom?s Sandoval,COL,2,4,60,1443,21,31
Javier Mendoza,GLP,2,1,87,1411,18,19
Antonio Medina,GLP,2,3,208,1290,18,19
Javier Garc?a,TIG,21,17,1507,0,21,17
Franco Canever,ALDO,15,19,928,595,19,27
Hilario Navarro,BAN,14,19,1413,95,15,20
Lucas Di Yorio,ALDO,2,1,41,1482,19,27
Gast?n Dami?n Aguirre,TEMP,4,9,689,822,14,21
Lucas Comachi,COL,0,2,39,1464,21,31
Nicol?s Stefanelli,DYJ,20,14,919,603,23,16
Yonathan Cabral,RAC,6,7,401,1105,29,26
Nicol?s Servetto,VEL,2,0,100,1409,19,19
Lucas Rodr?guez,ARGJ,14,15,853,650,11,26
Lucas Menossi,TIG,14,10,1060,447,21,17
Juan Galeano,SMSJ,0,1,26,1499,22,20
Hugo Nervo,HUR,11,10,842,675,21,15
Adri?n Cubas,CABJ,8,2,472,1029,14,13
Gabriel Arias,DYJ,19,9,1096,426,23,16
Cristian Men?ndez,TUC,20,17,1242,265,24,19
Sebasti?n Prediger,BEL,5,10,412,1096,19,23
Gast?n Colm?n,RAF,5,14,493,1015,14,32
Mauricio Casierra,SMSJ,22,20,1525,0,22,20
Maximiliano Paredes,QUI,6,10,276,1228,21,31
Daniel Sappa,EST,7,3,281,1225,25,11
Cristian Tarragona,TEMP,4,8,422,1089,14,21
N?stor Ortigoza,SL,21,14,1119,389,23,16
Ezequiel Rescaldani,QUI,18,23,1007,497,21,31
Nahuel Molina,CABJ,7,9,688,813,14,13
Esteban Esp?ndola Lopez,BEL,5,3,140,1368,19,23
Lucas Diarte,EST,21,9,1176,330,25,11
Maximiliano Lugo,SMSJ,10,6,459,1066,22,20
Sergio Gonz?lez,LAN,0,0,5,1502,28,10
Renzo Saravia,BEL,5,11,489,1019,19,23
Leonardo Jara,CABJ,8,6,743,758,14,13
Hernan Dario Pellerano,IND,21,12,1404,95,22,12
Pedro Silva Torrej?n,CABJ,0,0,30,1471,14,13
Federico Carrizo,CABJ,5,6,492,1009,14,13
Pablo Mouche,LAN,24,10,899,608,28,10
Fernando Belluschi,SL,21,13,1076,432,23,16
Ignacio Cacheiro,SARM,3,3,130,1381,10,17
Andr?s D?Alessandro,CARP,6,11,443,1070,20,19
Diego Viera,GCM,27,14,1507,0,27,14
Hernan Da Campo,ROS,1,1,64,1455,17,15
Mat?as Fritzler,HUR,20,11,1027,490,21,15
Rodrigo Mora,CARP,12,7,682,831,20,19
Luciano Vella,ARS,19,11,1175,329,21,14
Nicolas Pasquini,LAN,9,4,357,1150,28,10
Dardo Miloc,SARM,5,12,754,757,10,17
Hern?n Toledo,VEL,15,11,1137,372,19,19
Erik Ram?rez,GLP,5,3,111,1387,18,19
?scar Romero,RAC,13,11,827,679,29,26
Mat?as Rosso,ALDO,1,6,172,1351,19,27
Franco Peppino,SARM,8,16,1129,382,10,17
Lucas Boy?,NOB,16,19,1406,98,16,21
Ariel Colzera,TEMP,11,13,709,802,14,21
Luciano Lollo,RAC,2,1,188,1318,29,26
Marcelo Meli,CABJ,6,5,486,1015,14,13
Jon?s Aguirre,ROS,6,7,566,953,17,15
Guillermo Farr?,BEL,16,18,1128,380,19,23
Lucas Gamba,USF,19,18,1103,406,24,21
Cristian Lucchetti,TUC,23,19,1412,95,24,19
Lucas Suarez,QUI,0,2,18,1486,21,31
Rodrigo Bra?a,QUI,18,23,1175,329,21,31
Facundo Silva,GCM,16,8,830,677,27,14
Alexander Barboza,DYJ,20,13,1332,190,23,16
Emiliano Papa,TIG,19,14,1164,343,21,17
Diego Colotto,LAN,2,2,153,1354,28,10
Nahuel Luna,EST,0,0,26,1480,25,11
Jonathan Blanco,OBB,5,15,752,759,11,20
Sergio Andres Peralta G.,TEMP,3,4,228,1283,14,21
Daniel Montenegro,HUR,19,13,1073,444,21,15
Esteban Burgos,ROS,0,1,102,1417,17,15
Diego Milito,RAC,20,10,813,693,29,26
Emanuel Britez,USF,18,15,1068,441,24,21
Leandro Diaz,HUR,0,1,52,1465,21,15
Jorge Marcelo Rodr?guez,TIG,12,9,729,778,21,17
Facundo S?nchez,EST,25,11,1451,55,25,11
Mauricio Romero,GLP,8,10,732,766,18,19
Blas Caceres,VEL,13,15,730,779,19,19
Fernando De La Fuente,CAP,8,8,403,1115,19,23
Pablo Vegetti,COL,0,3,193,1310,21,31
Diego Chaves,SARM,7,14,816,695,10,17
F?lix Banega,ROS,1,0,20,1499,17,15
Dami?n Pacco,CAP,0,0,21,1497,19,23
Nicol?s Tagliafico,IND,22,12,1499,0,22,12
Lautaro Geminiani,CAP,9,11,583,935,19,23
Jose Fernandez,ROS,7,7,455,1064,17,15
Mariano Barbieri,ARS,17,10,1054,450,21,14
Cristian Lema,BEL,16,21,1302,206,19,23
Gast?n Campi,RAC,2,7,195,1311,29,26
Mart?n Galmarini,TIG,9,9,829,678,21,17
Lucas Chacana,HUR,4,7,349,1168,21,15
Diego Zabala,VEL,4,4,298,1211,19,19
Gonzalo Maroni,CABJ,0,1,10,1491,14,13
Sebasti?n Torrico,SL,23,16,1508,0,23,16
Lorenzo Faravelli,GLP,16,12,830,668,18,19
Mauricio Sperduti,COL,21,31,1314,189,21,31
Jonatan Maidana,CARP,15,12,1043,470,20,19
Brian Mansilla,QUI,13,21,686,818,21,31
Leonardo Ponzio,CARP,19,19,1170,343,20,19
Jalil El?as,NOB,7,8,802,702,16,21
Francisco Pizzini,OBB,8,14,889,622,11,20
Mauro Formica,NOB,6,10,601,903,16,21
Cristian Llama,ALDO,13,17,809,714,19,27
Gustavo Toledo,IND,17,12,1285,214,22,12
Osvaldo Barsottini,GLP,9,12,626,872,18,19
Marcos Figueroa,TEMP,13,12,959,552,14,21
Marcelo Larrondo,ROS,9,4,542,977,17,15
Marcos Curado,ARS,21,14,1504,0,21,14
?der Balanta,CARP,8,9,767,746,20,19
Lisandro Magall?n,DYJ,23,16,1522,0,23,16
Ra?l Villalba,NOB,5,3,71,1433,16,21
Leandro Gonz?lez,TUC,24,19,1405,102,24,19
Fernando Telechea,CAP,18,22,1353,165,19,23
German Ferreyra,ARS,3,1,173,1331,21,14
Sebasti?n P?riz,TIG,8,8,583,924,21,17
Sebasti?n Luna,BEL,16,12,905,603,19,23
Iv?n Alonso,CARP,13,15,822,691,20,19
Leonardo Acosta,CAP,0,0,64,1454,19,23
Ariel Rojas,TEMP,0,1,8,1503,14,21
Leonel Di Pl?cido,TUC,5,3,228,1279,24,19
Jos? San R?man,HUR,15,7,946,571,21,15
Luciano Balbi,HUR,20,13,1329,188,21,15
Franco Leys,COL,0,5,122,1381,21,31
Juan Carlos Olave,BEL,19,23,1508,0,19,23
Pablo Cuevas,COL,0,4,141,1362,21,31
Renzo Spinacci,SARM,3,7,324,1187,10,17
Sebastian Palacios,CABJ,11,13,1045,456,14,13
Rodrigo Bentancur,CABJ,8,11,686,815,14,13
Mart?n Campa?a,IND,19,7,1030,469,22,12
Geronimo Poblete,COL,21,27,1317,186,21,31
Hernan Fredes,DYJ,16,6,706,816,23,16
Nicol?s Benegas,CABJ,1,3,257,1244,14,13
Alan Aguerre,VEL,19,18,1374,135,19,19
Fernando Tobio,CABJ,8,11,1051,450,14,13
Leonel M?ller,HUR,1,1,93,1424,21,15
Alejandro Almada,CAP,0,0,19,1499,19,23
Washington Camacho,RAC,4,9,347,1159,29,26
Tom?s Mart?nez,DYJ,22,13,1025,497,23,16
Agust?n Rossi,EST,1,1,189,1317,25,11
Andres Ch?vez,CABJ,7,10,504,997,14,13
Agust?n Pelletieri,LAN,5,4,170,1337,28,10
Pablo M?guez,OBB,11,20,1459,52,11,20
Fabi?n Cubero,VEL,17,18,1294,215,19,19
Mauricio Arboleda,BAN,1,1,95,1413,15,20
Germ?n Montoya,RAF,7,17,691,817,14,32
Milton C?liz,ARS,3,1,56,1448,21,14
Maximiliano Coronel,GLP,13,14,1199,299,18,19
Thomas Rodriguez,BAN,6,5,393,1115,15,20
Guillermo Cosaro,SARM,10,13,1082,429,10,17
Rodrigo Gomez,IND,13,4,264,1235,22,12
Walter Benitez,QUI,12,14,657,847,21,31
Esteban Orfano,RAF,8,21,597,911,14,32
Nicol?s Bertocchi,CAP,9,9,609,909,19,23
Fausto Grillo,VEL,0,0,34,1475,19,19
Pablo Campod?nico,ALDO,11,14,772,751,19,27
Pablo Barrientos,SL,9,9,587,921,23,16
Ramiro Lopez,ARS,0,2,22,1482,21,14
Cristian Sain,COL,4,1,135,1368,21,31
Silvio Dulcich,QUI,9,17,847,657,21,31
Lisandro L?pez,RAC,19,18,676,830,29,26
Nicol?s Colazo,CABJ,1,5,245,1256,14,13
Rub?n Ram?rez,TEMP,4,12,333,1178,14,21
Franco Escobar,NOB,6,10,439,1065,16,21
Gustavo Bou,RAC,16,11,462,1044,29,26
Matias Quiroga,CAP,13,15,922,596,19,23
Patricio Toranzo,HUR,1,1,76,1441,21,15
Santiago Ascacibar,EST,25,11,1467,39,25,11
Miguel Almir?n,LAN,20,2,831,676,28,10
Franco Sbuttoni,TUC,16,11,850,657,24,19
Jorge Figal,OBB,11,20,1511,0,11,20
