Team;Goal Conversion For;Goal Conversion Against;Goals For;Goals Against;SoT for;SoT against;Possession;Total Cards Received
ALDO;25;34;1.13;1.69;4.44;4.94;44;2.63
ARGJ;18;33;0.63;1.69;3.5;5.06;49;3.06
ARS;36;17;1.19;0.75;3.31;4.38;48;2.5
BAN;21;31;0.88;1.25;4.25;4.06;47;3
BEL;27;41;1.25;1.44;4.69;3.5;46;3.13
CABJ;27;25;0.94;0.81;3.44;3.31;56;2.44
CAP;25;24;1;1.19;4;5;49;2.69
CARP;30;28;1.19;1.25;4;4.44;58;2.25
COL;27;34;1.19;1.69;4.38;4.94;58;2.69
DYJ;27;30;1.44;0.81;5.38;2.75;54;2.31
EST;31;22;1.5;0.63;4.88;2.88;56;2.31
GCM;32;18;1.56;0.81;4.88;4.63;53;3.19
GLP;27;29;1.13;1.13;4.19;3.88;43;1.94
HUR;32;23;1.31;0.88;4.13;3.81;48;2.25
IND;28;17;1.31;0.69;4.69;4;54;1.75
LAN;38;16;1.65;0.59;4.29;3.76;56;2.59
NOB;23;24;1;1.25;4.31;5.19;50;2.38
OBB;20;28;0.63;1.25;3.06;4.44;49;2.63
QUI;24;32;1.13;1.75;4.69;5.5;45;3.19
RAC;34;36;1.75;1.56;5.13;4.31;52;2.56
RAF;19;31;0.81;1.88;4.31;6.13;46;2.56
ROS;25;35;1;0.94;4.06;2.69;61;2.69
SARM;12;30;0.5;1;4.06;3.31;42;1.88
SL;32;25;1.18;1.06;3.71;4.29;56;3
SMSJ;29;26;1.31;1.25;4.5;4.81;48;3.13
TEMP;24;34;0.81;1.25;3.38;3.69;44;2.56
TIG;32;19;1.31;0.94;4.06;5;49;2.31
TUC;30;31;1.56;1.06;5.19;3.44;50;2.5
USF;33;32;1.38;1.38;4.13;4.25;47;2.5
VEL;33;26;1.25;1.13;3.75;4.38;49;2.81